-139.71757226634023,-138.0507153186828,-138.49548729110273,-139.46325680981354,87,7,-139.97856978837868,-140.24621207005913,-140.6840431605518,-140.4314779527724,94
-139.21566003866087,-140.46351839534705,-141.01418368376991,-142.772546380598,94,0,-144.5441109142811,-147.31259280862582,-150.44268011438774,-154.042202009709,94
-158.97798589741913,-162.77899127344412,-168.71573726241425,-174.6568063374571,94,-3,-181.3394606807906,-187.18172987767795,-196.23710148695125,-204.9780476051033,91
-214.84180226389836,-225.71885167172013,-235.61409125941512,-246.51977608297474,91,-6,-258.43567865138124,-271.4148116813082,-285.2963371654112,-298.28342226815084,85
-312.313944613429,-327.3438559069041,-343.32783167113035,-358.4034040016919,85,-7,-375.4317514542424,-391.51117480858704,-405.54407898525653,-425.98826274910436,78
-422.62276322980995,-413.34852122633754,-405.2221612893352,-396.1224558138556,78,-1,-387.6712524807585,-380.5916446797013,-370.91912865205535,-360.6618915272308,77
-351.04985400937,-337.34255586866,-326.58995697969647,-315.1031577118833,77,16,-301.4796842243271,-287.6473535424931,-272.8681000043794,-255.15485494107298,93
-237.6930794112441,-220.30206535572924,-202.70421801235415,-185.28356645962967,93,9,-168.02380783686579,-153.22206107476822,-138.27870407260838,-124.1491039033307,102
-110.02272492535349,-101.20276676059801,-89.26925562588724,-80.77747210701756,102,4,-77.62087348130012,-82.46211251235322,-87.47571091451616,-97.73944955850733,106
-106.38138934982942,-118.06777714516353,-132.015150645674,-148.21605850919124,106,-13,-169.57889019568444,-188.40912929048847,-214.2545215392198,-242.6849809938802,93
-271.8124353299532,-306.88760157425713,-341.35172476494097,-377.0225457449461,93,-22,-412.5724178856362,-419.75349909202663,-403.2381430370892,-394.55544604022384,71
-386.0828926538963,-381.47345910298924,-375.24658559405975,-368.91191360540256,71,9,-363.82963045909275,-357.75550310232825,-348.5197268448373,-337.4151745253909,80
-323.64950177622705,-309.88546271162835,-296.0152023123137,-277.8812696098821,80,14,-263.21094202179364,-244.468811916776,-224.52171387195494,-204.31837900688228,94
-181.7305698004604,-157.175061635108,-135.5949851580065,-113.3225485064645,94,13,-92.97311439335567,-78.29431652425353,-85.70297544426332,-94.11163583744573,107
-100.80674580602232,-110.54863183232979,-122.01639234135715,-135.1332675546625,107,-9,-150.74813431681335,-170.69563556224864,-191.8593234638338,-218.27734651126764,98
-248.09070921741508,-281.23299948619115,-316.7349049283959,-354.39102697444247,98,-25,-391.64397097363826,-426.95784335224477,-413.05205483086513,-404.1002350902558,73
-395.2973564293088,-388.06313919258037,-384.37611788455325,-381.2112275366506,73,4,-378.4507894033252,-374.7225640390501,-369.92026167810815,-362.5382738415353,77
-354.80276210875246,-343.8168116890156,-333.3781636520305,-322.52286740632826,77,13,-307.28000260348864,-293.2865492994863,-278.0593461835081,-259.88651369395836,90
-240.35390573069537,-219.10043359153812,-199.2636444512646,-180.8258831030558,90,12,-161.83015788165073,-142.86357128393507,-124.66354719804824,-107.20074626605917,102
-89.8443097808648,-78.43468620451031,-85.86617494683223,-94.92101980067429,102,5,-103.9471019317037,-115.35163631262454,-131.01526628603247,-146.05478424207814,107
-164.43843832875572,-185.0837648201484,-208.31946620515328,-233.80333616097099,107,-24,-264.0075756488817,-295.4132698441287,-332.776201072132,-372.7800960351826,83
-408.7077195258245,-419.4591756059223,-401.70760510600246,-388.15589651582,83,-16,-379.1595970036892,-368.06657006579667,-357.24641355792505,-346.4823227814083,67
-333.99550895184206,-325.85272747055535,-315.3284002433019,-299.4294574687,67,27,-281.7800560721074,-263.4331034627197,-238.41560351621283,-215.11392330576837,94
-185.64751546950473,-155.8621185535472,-124.23365083583433,-91.7877987534291,94,13,-82.73451516749222,-96.79876032264049,-107.93516572461452,-120.3536455617361,107
-133.18408313308313,-148.05404418657398,-165.0969412193939,-182.4828759089466,107,-14,-204.15925156602626,-232.36178687555318,-261.21638539724114,-296.44561052577586,93
-335.431065943511,-377.7856535126764,-418.9057173159612,-418.59288097147567,93,-26,-403.11288741492746,-389.62161131025573,-380.3261758017715,-374.64650005038084,67
-369.02167957994016,-364.23755984247424,-361.8425071768103,-358.71018942873644,67,20,-352.9107535907627,-345.77593901253454,-337.7217789838257,-324.8045566182839,87
-311.16876449926656,-295.2033197645311,-276.0235497199469,-256.6398254363496,87,8,-238.30442715149042,-220.238507078122,-199.64969321288726,-181.8378398463862,95
-162.43152403397562,-145.34441853748632,-127.67536959022284,-112.80514172678478,95,12,-99.72462083156798,-87.28115489611719,-77.62087348130012,-83.16850365372699,107
-88.52683209061533,-96.5090669315583,-103.58571330062848,-116.06894502837527,107,-8,-127.03542812932147,-142.50614021858848,-163.11039206623224,-184.69975636150687,99
-209.45882650296693,-236.40854468483155,-268.32815729997475,-304.5734722525913,99,-22,-339.6733725213091,-376.7452720340363,-416.83210049131293,-419.9011788504529,77
-407.2959611879303,-395.2176615486712,-386.0634662850138,-379.2967176235513,77,-4,-373.04423330216486,-366.7764987018661,-358.3699206127657,-350.48823090083926,73
-342.04239503313033,-329.53907203850656,-317.1766069558094,-302.03476621077914,73,19,-286.89545134072796,-268.96096371034963,-247.42675683927152,-228.32433072276814,92
-205.27298896834918,-180.76780686836912,-156.20819440733575,-133.4053971921676,92,14,-109.11003620199197,-86.53900854527974,-80.11242100947892,-88.23264701911646,106
-96.317184344228,-104.08650248711405,-114.10959644131601,-125.09996003196804,106,-5,-140.80127840328723,-156.69716015295236,-178.08424972467387,-205.1389772812568,101
